,precision,recall,f1-score,support
FDC_Falha_Dissipacao_Calor,0.76,0.8636363636363636,0.8085106382978723,44.0
FDF_Falha_Desgaste_Ferramenta,0.5625,0.6,0.5806451612903226,15.0
FP_Falha_Potencia,0.7272727272727273,0.64,0.6808510638297872,25.0
FTE_Falha_Tensao_Excessiva,0.7037037037037037,0.6129032258064516,0.6551724137931034,31.0
accuracy,0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696
macro avg,0.6883691077441078,0.6791348973607038,0.6812948193027715,115.0
weighted avg,0.7119489825794173,0.7130434782608696,0.7097023211112358,115.0
