,precision,recall,f1-score,support
FDC (Falha Dissipacao Calor)_map,0.6551724137931034,0.8636363636363636,0.7450980392156863,44.0
FDF (Falha Desgaste Ferramenta)_map,0.6666666666666666,0.4,0.5,15.0
FP (Falha Potencia)_map,0.8333333333333334,0.6,0.6976744186046512,25.0
FTE (Falha Tensao Excessiva)_map,0.6333333333333333,0.6129032258064516,0.6229508196721312,31.0
accuracy,0.6782608695652174,0.6782608695652174,0.6782608695652174,0.6782608695652174
macro avg,0.6971264367816092,0.6191348973607038,0.6414308193731171,115.0
weighted avg,0.6895152423788107,0.6782608695652174,0.6698926052212394,115.0
