,precision,recall,f1-score,support
FDC (Falha Dissipacao Calor),0.75,0.9545454545454546,0.84,44.0
FDF (Falha Desgaste Ferramenta),0.3333333333333333,0.2,0.25,15.0
FP (Falha Potencia),0.5909090909090909,0.52,0.5531914893617021,25.0
FTE (Falha Tensao Excessiva),0.6785714285714286,0.6129032258064516,0.6440677966101694,31.0
accuracy,0.6695652173913044,0.6695652173913044,0.6695652173913044,0.6695652173913044
macro avg,0.5882034632034632,0.5718621700879766,0.5718148214929679,115.0
weighted avg,0.6418125352907962,0.6695652173913044,0.6478772950344157,115.0
