,precision,recall,f1-score,support
FDC (Falha Dissipacao Calor),0.3826086956521739,1.0,0.5534591194968553,44.0
FDF (Falha Desgaste Ferramenta),0.0,0.0,0.0,15.0
FP (Falha Potencia),0.0,0.0,0.0,25.0
FTE (Falha Tensao Excessiva),0.0,0.0,0.0,31.0
accuracy,0.3826086956521739,0.3826086956521739,0.3826086956521739,0.3826086956521739
macro avg,0.09565217391304348,0.25,0.13836477987421383,115.0
weighted avg,0.14638941398865787,0.3826086956521739,0.21175827180749246,115.0
