,precision,recall,f1-score,support
nao,0.9922514943546602,0.98440588622886,0.9883131201764057,4553.0
sim,0.4496124031007752,0.6236559139784946,0.5225225225225225,93.0
accuracy,0.977184674989238,0.977184674989238,0.977184674989238,0.977184674989238
macro avg,0.7209319487277177,0.8040309001036774,0.7554178213494641,4646.0
weighted avg,0.9813893687656349,0.977184674989238,0.9789892877222924,4646.0
