,precision,recall,f1-score,support
nao,0.9931748128577719,0.9907753129804524,0.9919736118746564,4553.0
sim,0.5961538461538461,0.6666666666666666,0.6294416243654822,93.0
accuracy,0.9842875591907017,0.9842875591907017,0.9842875591907017,0.9842875591907017
macro avg,0.794664329505809,0.8287209898235595,0.8107076181200693,4646.0
weighted avg,0.9852275571747187,0.9842875591907017,0.9847167296451357,4646.0
