,precision,recall,f1-score,support
FDC (Falha Dissipacao Calor)_map,0.7555555555555555,0.7727272727272727,0.7640449438202247,44.0
FDF (Falha Desgaste Ferramenta)_map,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
FP (Falha Potencia)_map,0.6538461538461539,0.68,0.6666666666666666,25.0
FTE (Falha Tensao Excessiva)_map,0.6,0.5806451612903226,0.5901639344262295,31.0
accuracy,0.6695652173913044,0.6695652173913044,0.6695652173913044,0.6695652173913044
macro avg,0.6452075702075702,0.6416764418377322,0.6431499207110387,115.0
weighted avg,0.6674958857567553,0.6695652173913044,0.6683094628776972,115.0
