,precision,recall,f1-score,support
FDC_Falha_Dissipacao_Calor,0.375,0.13636363636363635,0.2,44.0
FDF_Falha_Desgaste_Ferramenta,0.38461538461538464,0.6666666666666666,0.4878048780487805,15.0
FP_Falha_Potencia,0.25925925925925924,0.28,0.2692307692307692,25.0
FTE_Falha_Tensao_Excessiva,0.41304347826086957,0.6129032258064516,0.4935064935064935,31.0
accuracy,0.3652173913043478,0.3652173913043478,0.3652173913043478,0.3652173913043478
macro avg,0.3579795305338784,0.42398338220918863,0.36263553519651076,115.0
weighted avg,0.3613483484939062,0.3652173913043478,0.3317090756539325,115.0
