,precision,recall,f1-score,support
FDF_Falha_Desgaste_Ferramenta,0.07692307692307693,0.06666666666666667,0.07142857142857142,15.0
FDC_Falha_Dissipacao_Calor,0.6153846153846154,0.4528301886792453,0.5217391304347826,53.0
FP_Falha_Potencia,0.037037037037037035,0.06666666666666667,0.047619047619047616,15.0
FTE_Falha_Tensao_Excessiva,0.28125,0.2571428571428571,0.26865671641791045,35.0
FA_Falha_Aleatoria,0.0,0.0,0.0,1.0
micro avg,0.3153153153153153,0.29411764705882354,0.30434782608695654,119.0
macro avg,0.20211894586894585,0.16866127583108714,0.1818886931800624,119.0
weighted avg,0.3711641707965238,0.29411764705882354,0.32639389305365235,119.0
samples avg,0.11594202898550725,0.2956521739130435,0.15913043478260866,119.0
