,precision,recall,f1-score,support
FDC (Falha Dissipacao Calor)_map,0.7959183673469388,0.8863636363636364,0.8387096774193549,44.0
FDF (Falha Desgaste Ferramenta)_map,0.6,0.6,0.6,15.0
FP (Falha Potencia)_map,0.72,0.72,0.72,25.0
FTE (Falha Tensao Excessiva)_map,0.7692307692307693,0.6451612903225806,0.7017543859649122,31.0
accuracy,0.7478260869565218,0.7478260869565218,0.7478260869565218,0.7478260869565218
macro avg,0.7212872841444269,0.7128812316715541,0.7151160158460668,115.0
weighted avg,0.7466657566036449,0.7478260869565218,0.7448487980118599,115.0
