,precision,recall,f1-score,support
FDC (Falha Dissipacao Calor)_map,0.7843137254901961,0.9090909090909091,0.8421052631578947,44.0
FDF (Falha Desgaste Ferramenta)_map,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
FP (Falha Potencia)_map,0.7727272727272727,0.68,0.723404255319149,25.0
FTE (Falha Tensao Excessiva)_map,0.7333333333333333,0.7096774193548387,0.7213114754098361,31.0
accuracy,0.7565217391304347,0.7565217391304347,0.7565217391304347,0.7565217391304347
macro avg,0.7392602495543672,0.7080254154447703,0.719853396619868,115.0
weighted avg,0.7527071223746415,0.7565217391304347,0.7511937616393034,115.0
