,precision,recall,f1-score,support
FDC_Falha_Dissipacao_Calor,0.7843137254901961,0.9090909090909091,0.8421052631578947,44.0
FDF_Falha_Desgaste_Ferramenta,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
FP_Falha_Potencia,0.7727272727272727,0.68,0.723404255319149,25.0
FTE_Falha_Tensao_Excessiva,0.7333333333333333,0.7096774193548387,0.7213114754098361,31.0
accuracy,0.7565217391304347,0.7565217391304347,0.7565217391304347,0.7565217391304347
macro avg,0.7392602495543672,0.7080254154447703,0.719853396619868,115.0
weighted avg,0.7527071223746415,0.7565217391304347,0.7511937616393034,115.0
