,precision,recall,f1-score,support
nao,0.9959971744761008,0.9290577641115748,0.9613636363636363,4553.0
sim,0.19047619047619047,0.8172043010752689,0.3089430894308943,93.0
accuracy,0.9268187688334051,0.9268187688334051,0.9268187688334051,0.9268187688334051
macro avg,0.5932366824761457,0.8731310325934218,0.6351533628972653,4646.0
weighted avg,0.9798728844390815,0.9268187688334051,0.9483039913217197,4646.0
