,precision,recall,f1-score,support
nao,0.9952279957582184,0.8245113112233692,0.9018618618618619,4553.0
sim,0.08581235697940504,0.8064516129032258,0.15511892450879008,93.0
accuracy,0.8241498062849764,0.8241498062849764,0.8241498062849764,0.8241498062849764
macro avg,0.5405201763688117,0.8154814620632975,0.528490393185326,4646.0
weighted avg,0.977024023651798,0.8241498062849764,0.8869141448636192,4646.0
